acronym	title	location
BDCC 2019	BDCC 2019 - 2nd EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing	Coimbatore, India
BDCSIntell 2019	THE 2ND INTERNATIONAL CONFERENCE ON BIG DATA AND CYBER-SECURITY INTELLIGENCE 	Beirut, Lebanon
SABID 2019	WORKSHOP ON SOLAR & STELLAR  ASTRONOMY BIG DATA	Los Angeles, CA, USA
IWECA 2019	the 15th Intelligent Web Computing and Applications	Sorrento
IEEE SITIS 2019	The 15th IEEE Conference on Signal Image Technology and Internet Based Systems	Sorento
INTIS 2019	8th edition of International Conference on Innovation and New Trends in Information Technology	Tangier-Morocco
BigDataPipelines 2019	International Workshop on Multi-tier Big Data Pipelines from Edge to the Cloud Data Centers @HiPC 2019	Hyderabad, India
BDAAICCIP 2019	Special Issue on Big Data Analytics and Artificial Intelligence for Cyber Crime Investigation and Prevention	N/A
ICSESS 2019	2019 10th IEEE International Conference on Software Engineering and Service Science 	Beijing,China
FL - IEEE BigData 2019	IEEE BigData 2019 - Special Track on Federated Machine Learning	Los Angeles, CA, USA
IGI-BOOK-DIGITHEALTH 2020	Trends in Innovation Management and Digital Transformation in Healthcare	N/A
ICBIB Doctoral Symposium 2019	ICBIB Doctoral Symposium	University of London
ACM--IC5G--EI Compendex, Scopus 2019	ACM--2019 The 3rd International Conference on 5G (IC5G 2019)--EI Compendex, Scopus	Tokyo University of Science, Japan
IEEE SITIS I-MIRA 2019	Intelligent Multimedia Information Retrieval and Applications workshop	Sorrento (NA), Italy
WDEA 2019	SECOND  WORKSHOP ON DATA ENGINEERING AND ANALYTICS	MADRID
BigScholar 2019	CIKM 2019 Workshop on Big Scholarly Data	Beijing, China
IEEE BigComp  2020	The 7th IEEE International Conference on Big Data and Smart Computing	Pusan, South Korea
IEEE BigData 2019	IEEE International Conference on Big Data	Los Angels, CA
IWBIS 2019	The 4th IEEE International Workshop on Big Data and Information Security	Melia Hotel, Nusa Dua, Bali, Indonesia
IEEE BigData 2019	IEEE International Conference on Big Data	Los Angeles, CA
BDSIC--EI Compendex, Scopus 2019	2019 International Conference on Big-data Service and Intelligent Computation (BDSIC 2019)--EI Compendex, Scopus	Wuhan, China
AIOTT--IEEE, Ei, Scopus 2019	IEEE--2019 Asia IoT Technologies Conference (AIOTT 2019)--Ei Compendex, Scopus	Shandong University (Weihai), China
ICBIB 2019	International Conference on Big Data in Business	London, UK
CENet 2019	The 9th International Conference on Computer Engineering and Networks	Changsha,China
MoBiD 2019	8th International Workshop on Modeling and Management of Big Data	Salvador, Bahia, Brazil
CSoNet 2019	The International Conference on Computational Data & Social Networks	Ho Chi Minh City, Vietnam
IWAMA 2019	9th International Workshop of Advanced Manufacturing and Automation	Plymouth, UK
IEEE BigData 2019	 IEEE International Conference on Big Data - 2nd Special Session on HealthCare Data	Los Angeles, CA, USA
BDEE--JA, Scopus 2019	2019 The International Conference on Big Data Engineering and Education (BDEE 2019)--JA, Scopus	Bangkok, Thailand
MARSS 2019	The International Workshop on Marine Sensors and Systems	Granada, Spain
TeCrop 2019	The 1st International Workshop on Technology for Precision Agriculture and Crops	Granada, Spain
IEEE BDSN 2019	 The 7th IEEE International workshop on Big Data and Social Networking Management and Security	Granada, Spain
IEEE ANLP 2019	 The Third IEEE International Workshop on Advances in Natural Language Processing 	Granada, Spain
IDEAL 2019	Intelligent Data Engineering and Automated Learning	Manchester
IEEE DTL 2019	The Second IEEE International Workshop on Deep and Transfer Learning 	Granada, Spain
ABCSS 2019	The 4th International Workshop on Application of Big Data for Computational Social Science	Thessaloniki, Greece
Global AI Congress 2019	Global AI Congress 2019	BOSE INSTITUTE (BASU BIGYAN MANDIR)
IDCS 2019	IDCS2019: The 12th International Conference on Internet and Distributed Computing Systems	University of Naples Parthenope - Villa
DigiBig 2019	Digital Libraries, Information Retrieval, Big, Linked, Social & Open Data - Special Track on 13th International Conference on Metadata and Semantics Research (MTSR2019)	Rome, Italy
EURONAP 2019	European and National Projects: Special Track as part of the 13th International Conference on Metadata and Semantics Research (MTSR 2019) 	Rome, Italy
Bench 2019	2019 International Symposium on Benchmarking, Measuring and Optimizing	Denver, Colorado, USA
SKG 2019	The 15th International Conference on Semantics, Knowledge and Grids On Big Data, AI and Future Interconnection Environment	Guangzhou, China
ICA3PP 2019	International Conference on Algorithms and Architectures for Parallel Processing	Melbourne
EUSPN 2019	The 10th International Conference on Emerging Ubiquitous Systems and Pervasive Networks	Coimbra, Portugal
DSC 5.0 2019	Data Science Conference 5.0	Belgrade, Serbia
DSC 5.0 2019	Data Science Conference 5.0 - Technical Tutorials	Belgrade, Serbia
Big Data & AI 2019	2019 The 7th International Workshop on Big Data & AI	Guilin, China
CyberC 2019	The 11th Int. Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery	Guilin, China
DTW 2019	2019 Data Teaching Workshop – 5th Workshop on Curricula and Teaching Methods in Cloud Computing, Big Data, and Data Science	San Diego
DATA 2019	International Conference on Data Science, E-learning and Information Systems 2019	Dubai, Arab Emirates
SIGSPATIAL 2019	27th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems (ACM SIGSPATIAL 2018)	Chicago, Illinois, USA
CBD 2019	The Seventh International Conference on Advanced Cloud and Big Data	Suzhou, China
CIMPS 2019	8th International Conference on Software Process Improvement	Leon, Guanajuato, Mexico
SciSec 2019	The 2nd International Conference on Science of Cyber Security (SciSec'2019) 	Nanjing, China
ADHIP  2019	ADHIP 2019 - 3rd EAI International Conference on Advanced Hybrid Information Processing	Nanjing City, Jiangsu Province, People's
COMPNW--BD-IoTFarm 2019	Special Issue on The Big Data Era in IoT-enabled Smart Farming: Re-defining Systems, Tools, and Techniques	N/A
SNMAM 2019	Track on Social Network and Media Analysis and Mining	Lima, Peru
GCCE-OSDSC 2019	GCCE 2019: Organized Session on Data Science and Its Application to Consumer Technology	Osaka, Japan
